sequence	16S_rRNA_Count	metadata_NSTI	closest_reference_genome
AB548674.1.1491	1	0.02198	GCF_000426485.1
AB554230.1.1487	2	0.108323	GCF_000265365.1
AB554231.1.1489	2	0.010178	GCA_025145285.1
AB554233.1.1486	2	0.023771	GCA_025145845.1
AB558171.1.1473	5	0.013454	GCF_008327825.1
AB558487.1.1504	1	0.094916	GCF_014202635.1
AB559618.1.1515	1	0.220328	GCA_900751685.1
AB559621.1.1499	1	0.034254	GCA_900544425.1
AB566418.1.1473	2	0.161268	GCF_000296445.1
AB571656.1.1493	5	0.028605	GCF_900461125.1
AB574479.1.1484	1	0.108372	GCF_000315485.1
AB574480.1.1486	1	0.032326	GCF_000614145.1
AB574481.1.1484	1	0.029296	GCF_900142015.1
AB574482.1.1489	2	0.029797	GCF_900108035.1
AB595132.1.1457	7	0.018443	GCF_900637705.1
AB595135.1.1467	1	0.028942	GCF_003470665.1
AB595138.1.1492	1	0.02761	GCF_000312445.1
AB598741.1.1413	2	0.015584	GCF_004376175.1
AB601001.1.1469	1	0.011553	GCF_000225705.1
AB606256.1.1495	1	0.056611	GCF_003478995.1
AB606284.1.1481	1	0.092212	GCF_003024715.1
AB606308.1.1509	1	0.071506	GCF_900155525.1
AB606352.1.1486	1	0.272255	GCA_010206265.1
AB606378.1.1511	1	0.241011	GCA_900751685.1
AB606383.1.1494	1	0.112147	GCA_902381685.1
AB606384.1.1479	1	0.115324	GCF_009936045.1
AB606399.1.1479	1	0.102055	GCA_900542245.1
AB608051.1.1488	1	0.006975	GCF_001434705.1
AB612796.1.1482	1	0.106189	GCA_910577395.1
AB614872.1.1469	1	0.054088	GCA_900551245.1
AB616133.1.1466	5	0.03036	GCA_000182945.1
AB616155.1.1470	1	0.112043	GCA_944390795.1
AB616299.1.1516	7	0.106592	GCF_000687995.1
AB618996.1.1275	5	0.058927	GCF_001628715.1
AB626049.1.1495	1	0.033592	GCF_000260435.1
AB626897.1.1485	1	0.227562	GCA_900751685.1
AB626907.1.1496	1	0.182867	GCF_014384805.1
AB626919.1.1479	1	0.115324	GCF_009936045.1
AB626927.1.1498	1	0.126039	GCA_020859755.1
AB626931.1.1494	1	0.065156	GCA_905219705.1
AB626948.1.1493	1	0.127536	GCA_020555605.1
AB627586.1.1525	1	0.052644	GCA_000403275.2
AB627676.1.1520	1	0.080443	GCF_014281125.1
AB627687.1.1526	1	0.079988	GCA_900315985.1
AB636945.1.1426	1	0.045999	GCF_006152145.1
AB638860.1.1489	1	0.010097	GCF_003797185.1
AB639144.1.1469	6	0.031809	GCF_004006635.1
AB649277.1.1490	2	0.019898	GCF_000154285.1
AB662961.1.1419	8	0.012489	GCF_000215745.1
AB678451.1.1353	1	0.014021	GCF_000009045.1
AB680374.1.1442	1	0.010961	GCF_002140915.1
AB680533.1.1482	5	0.110255	GCF_006739205.1
AB680534.1.1414	1	0.030591	GCF_009738225.1
AB680625.1.1447	1	0.033539	GCF_900660445.2
AB680681.1.1443	2	0.033809	GCF_000085865.1
AB681219.1.1466	1	0.010648	GCF_001591705.1
AB681297.1.1474	1	0.03187	GCF_002441715.1
AB681369.1.1472	1	0.008877	GCF_010093135.1
AB681574.1.1283	1	0.006828	GCF_003576525.1
AB681920.1.1462	1	0.018885	GCF_001941965.1
AB693143.1.1405	1	0.086784	GCA_014799995.1
AB696394.1.1357	7	0.19495	GCF_003697165.2
AB697157.1.1394	1	0.015811	GCF_014199935.1
AB698720.1.1455	1	0.001888	GCF_001423085.1
AB700379.1.1452	7	0.066067	GCF_003697165.2
AB702721.1.1496	1	0.110584	GCF_000614185.1
AB702729.1.1497	1	0.118314	GCF_004766125.1
AB702751.1.1405	1	0.090268	GCF_004803695.1
AB702753.1.1392	2	0.109885	GCF_014287585.1
AB702756.1.1405	1	0.049635	GCF_008728965.1
AB702765.1.1492	3	0.110004	GCF_013166595.1
AB702766.1.1491	2	0.113507	GCF_006542665.1
AB702771.1.1395	2	0.041415	GCA_910575495.1
AB702802.1.1393	1	0.208381	GCF_900112085.1
AB702839.1.1406	1	0.023062	GCA_910574895.1
AB702870.1.1395	1	0.203967	GCA_905219705.1
AB702884.1.1495	1	0.221202	GCA_916988195.3
AB702916.1.1364	1	0.020341	GCA_910575165.1
AB733112.1.1328	1	0.011018	GCF_001025135.1
AB735688.1.1201	1	0.020888	GCF_003387165.1
AB739697.1.1442	1	0.03031	GCF_900128505.1
AB741661.1.1324	1	0.01202	GCF_003818115.1
AB741662.1.1324	7	0.017771	GCF_018323885.1
AB741663.1.1324	1	0.012079	GCF_004353845.1
AB741665.1.1324	7	0.036851	GCF_018323885.1
AB741688.1.1324	1	0.011375	GCF_004353845.1
AB741690.1.1324	8	0.011616	GCF_013337685.1
AB741696.1.1324	1	0.010944	GCF_011064845.1
AB742106.1.1431	1	0.079421	GCA_900169975.1
AB746750.1.1530	3	0.1415	GCA_900199405.1
AB746810.1.1518	1	0.23894	GCA_900751685.1
AB749382.1.1389	1	0.039485	GCF_900103655.1
AB772259.1.1253	6	0.036641	GCF_019797845.1
AB775005.1.1253	1	0.045344	GCF_009914335.1
AB780934.1.1454	1	0.112955	GCF_004340975.1
AB819042.1.1224	1	0.029525	GCF_011038845.1
AB821767.1.1524	1	0.169749	GCA_900110975.1
AB821808.1.1525	1	0.111892	GCF_009676955.1
AB822953.1.1572	1	0.241803	GCA_022845955.1
AB824383.1.1515	1	0.220511	GCA_900751685.1
AB824585.1.1514	1	0.157395	GCA_944376295.1
AB824647.1.1509	1	0.180606	GCA_944376295.1
AB826025.1.1593	2	0.167622	GCF_001311885.1
AB849349.1.1221	2	0.053157	GCF_900475675.1
AB855773.1.1512	4	0.103862	GCF_900070325.1
AB861981.1.1489	1	0.123649	GCF_013618865.1
AB874571.1.1447	5	0.108676	GCA_025148635.1
AB910337.1.1492	1	0.128241	GCF_000154845.1
AB916501.1.1486	5	0.108676	GCA_025148635.1
AB920828.1.1412	3	0.037259	GCF_014652815.1
AB930590.1.1483	2	0.107812	GCA_000752215.1
AB934524.1.1365	1	0.239508	GCA_004102805.1
AB934533.1.1365	1	0.118387	GCF_002201515.1
AB934596.1.1362	1	0.110229	GCF_004803915.1
AB934611.1.1394	1	0.052214	GCF_019797825.1
AB934632.1.1349	1	0.141437	GCF_018917965.1
AB934705.1.1348	1	0.155852	GCA_910575245.1
AB934715.1.1349	1	0.111324	GCF_000403435.2
AB934716.1.1353	1	0.11475	GCA_910574835.1
AB934726.1.1341	1	0.12105	GCF_003612565.1
AB934730.1.1351	1	0.07603	GCA_910575695.1
AB934731.1.1350	1	0.075345	GCA_910574635.1
AB934732.1.1349	1	0.111324	GCF_000403435.2
AB934744.1.1341	1	0.111145	GCF_024623325.1
AB934775.1.1342	1	0.163898	GCA_900751685.1
AB934779.1.1351	1	0.139309	GCA_000620945.1
AB934796.1.1350	1	0.26674	GCA_902784545.1
AB934798.1.1350	3	0.153415	GCF_018919205.1
AB934800.1.1322	1	0.160016	GCA_900538765.1
AB934801.1.1351	1	0.069603	GCF_009911645.1
AB934802.1.1340	1	0.14014	GCA_910577395.1
AB934822.1.1349	1	0.065415	GCA_002841545.1
AB934830.1.1348	1	0.109078	GCF_014287875.1
AB934837.1.1365	1	0.240892	GCA_004102805.1
AB934839.1.1350	1	0.06929	GCA_910574635.1
AB934852.1.1327	1	0.077712	GCA_904419725.1
AB934853.1.1327	1	0.062154	GCA_000492175.2
AB934872.1.1350	1	0.081299	GCA_910575695.1
AB934882.1.1351	1	0.143534	GCF_943192995.1
AB936635.1.1441	1	0.169069	GCA_022846035.1
AB969320.1.1524	4	0.030783	GCF_014337215.1
AB969372.1.1521	1	0.110275	GCF_000949455.1
AB969380.1.1523	1	0.090262	GCF_003478995.1
AB969399.1.1506	1	0.010665	GCF_004353185.1
AB969443.1.1542	1	0.010487	GCA_910575755.1
AB969596.1.1523	1	0.056757	GCF_900240315.1
AB969601.1.1522	1	0.109564	GCA_902363515.1
AB969619.1.1529	1	0.111219	GCA_910575775.1
AB971869.1.1245	3	0.057597	GCF_000368585.1
ABCA03000037.60092.61588	1	0.00777	GCA_025150425.1
ABDV01000025.23975.25492	6	0.017472	GCF_000013285.1
ABDX01000067.78.1390	6	0.007418	GCF_000013285.1
ABEZ02000012.1768.3258	1	0.010309	GCA_025148965.1
ABEZ02000015.506.1996	1	0.008426	GCA_025148965.1
ABGD02000021.1868.3380	2	0.016891	GCA_025146135.1
ABIK02000013.103269.104574	1	0.048044	GCA_025149465.1
ABIY02000114.1.1263	3	0.02557	GCF_000154845.1
ABJL02000007.1225076.1226586	1	0.025217	GCF_000172175.1
ABOU02000049.4536.6056	1	0.030697	GCA_025152405.1
ABQC02000019.758957.760260	1	0.024037	GCF_000187895.1
ABQR01000074.101.1610	1	0.039609	GCA_000155435.1
ABWK02000005.70.1618	2	0.020307	GCF_000155955.1
ABWK02000010.137802.139350	2	0.011885	GCF_000155955.1
ABWL02000011.84303.85559	7	0.040696	GCF_005860775.1
ABWN01000012.312.1822	1	0.020094	GCA_025148445.1
ABXI02000116.1.1285	5	0.012449	GCF_000156195.1
AC145820.26622.28093	2	0.05916	GCF_022496765.1
ACBX02000025.1.1217	1	0.028222	GCF_009494395.1
ACBZ01000217.267.1788	1	0.031246	GCF_000157975.1
ACCF01000268.3369.4627	1	0.017104	GCF_900120005.1
ACCJ01000522.48.1565	1	0.03427	GCF_902364025.1
ACCK01000460.1.1313	8	0.015143	GCA_025148785.1
ACDP02000005.388.1906	1	0.017488	GCF_000158475.2
ACFE01000007.338.1763	1	0.009566	GCF_000174015.1
ACGI01000130.79.1442	1	0.016687	GCF_013394085.1
ACGV01000168.71.1473	1	0.017638	GCF_014838745.1
ACIP02000003.114175.115697	4	0.029313	GCF_000160115.1
ACKS01000100.344.1864	1	0.009318	GCF_000160535.1
ACKT01000055.15.1310	1	0.010596	GCF_000160555.1
ACLA01000028.1.1216	1	0.025984	GCF_900186465.1
ACON01000003.712136.713636	1	0.128617	GCA_902362435.1
ACTH01000059.589.2110	4	0.029976	GCF_001185345.1
ACUX02000006.1.1301	2	0.014022	GCF_000162875.1
ADBC01000153.367.1631	7	0.017984	GCA_021307345.1
ADFR01000011.3460.4852	1	0.014363	GCF_000177375.1
ADGI01000045.4219.5736	1	0.025633	GCF_000613785.1
ADLN01000129.202.1639	1	0.026996	GCF_000235505.1
AE000513.2467934.2469435	3	0.031007	GCF_000008565.1
AE015928.3034714.3036195	1	0.109565	GCF_000011065.1
AEON01000002.393494.395009	2	0.00015	GCF_001042675.1
AEUH01000060.4040.5574	3	0.06299	GCF_900105015.1
AF000221.1.1418	1	0.017029	GCF_019711685.1
AF010252.1.1373	8	0.011172	GCF_000828055.2
AF023052.1.1471	2	0.055745	GCF_000775995.1
AF032127.1.1469	1	0.0541	GCF_004684245.1
AF035054.1.1416	1	0.015068	GCF_004362855.1
AF047850.1.1200	1	0.025456	GCF_017979475.1
AF061347.1.1502	2	0.038801	GCF_017161265.1
AF072471.1.1420	1	0.029536	GCF_900198605.1
AF073448.1.1435	2	0.014779	GCF_000169535.1
AF101240.1.1465	2	0.015803	GCF_000162875.1
AF109792.1.1461	1	0.010933	GCF_000298215.1
AF114470.1.1632	2	5.155873	GCF_014655955.1
AF125590.1.1459	1	0.197597	GCF_900660445.2
AF125593.1.1421	1	0.031176	GCF_000420105.1
AF127912.1.1614	1	0.006588	GCF_001460635.1
AF129443.1.1436	1	0.00991	GCF_000735435.1
AF129444.1.1436	1	0.010903	GCF_000735435.1
AF129868.1.1462	1	0.175348	GCA_022846035.1
AF132232.1.1493	1	0.176247	GCA_934101575.1
AF132261.1.1437	1	0.10994	GCA_916988195.3
AF132263.1.1446	5	0.109367	GCF_001314995.1
AF132270.1.1279	1	0.092673	GCA_902363135.1
AF132280.1.1277	1	0.037845	GCA_025150425.1
AF132281.1.1427	5	0.108676	GCA_025148635.1
AF132283.1.1280	1	0.10994	GCA_916988195.3
AF132284.1.1359	1	0.014693	GCF_000190535.1
AF142062.1.1430	2	0.05471	GCF_000686565.1
AF143835.1.1303	1	0.266328	GCF_001613805.1
AF145752.1.1280	1	0.029388	GCF_000013985.1
AF153858.1.1349	1	0.024157	GCA_025152405.1
AF175281.1.1339	1	0.012771	GCF_000735435.1
AF175403.1.1471	1	0.031338	GCF_014651235.1
AF186072.1.1492	1	0.00911	GCF_900460315.1
AF192152.1.1542	1	0.108176	GCF_900116045.1
AF206305.1.1461	5	0.108444	GCF_007990635.1
AF207074.1.1392	1	0.015136	GCF_001521765.1
AF231131.1.1494	1	0.013693	GCA_000166735.2
AF233876.1.1443	1	0.118138	GCF_000739875.1
AF251035.1.1484	1	0.289172	GCF_000423505.1
AF253365.1.1402	4	0.006263	GCF_000196555.1
AF275894.1.1267	4	0.035159	GCF_000010425.1
AF287762.1.1511	1	0.207047	GCA_000488855.1
AF287769.1.1493	1	0.201424	GCA_025148445.1
AF287772.1.1541	1	0.126393	GCF_023206215.1
AF287775.1.1476	1	0.173377	GCA_000242235.1
AF321038.1.1379	3	0.021531	GCF_020886055.1
AF338413.1.1408	1	0.016337	GCF_000239275.1
AF348748.1.1327	1	0.003651	GCF_000155475.1
AF349756.1.1335	1	0.12214	GCF_001561955.1
AF349930.1.1400	1	0.062056	GCF_001544215.1
AF349933.1.1228	1	0.09435	GCF_001591705.1
AF349937.1.1220	5	0.023466	GCF_900636965.1
AF354055.1.1752	1	0.042298	GCF_003364255.1
AF359941.1.1346	1	0.036699	GCF_002015045.1
AF371524.1.1337	1	0.168933	GCA_905199855.1
AF371526.1.1384	1	0.149024	GCA_905188025.1
AF371544.1.1441	1	0.047763	GCA_025147765.1
AF371549.1.1455	1	0.113063	GCF_003460605.1
AF371626.1.1448	1	0.081807	GCA_902362715.1
AF371628.1.1465	1	0.096025	GCF_014287435.1
AF371633.1.1455	1	0.096694	GCF_900104415.1
AF371634.1.1454	1	0.083709	GCF_900104415.1
AF371637.1.1465	1	0.150223	GCA_016287765.1
AF371644.1.1419	1	0.109917	GCF_000146185.1
AF371648.1.1457	1	0.076491	GCF_900103815.1
AF371654.1.1443	3	0.05105	GCF_018918185.1
AF371660.1.1453	1	0.052337	GCF_002161065.1
AF371675.1.1449	1	0.12986	GCF_003477605.1
AF371677.1.1456	1	0.110967	GCA_910575665.1
AF371678.1.1465	1	0.135965	GCA_910575665.1
AF371679.1.1429	1	0.031137	GCF_003865035.1
AF371681.1.1418	1	0.038241	GCA_900542245.1
AF371688.1.1398	1	0.18369	GCA_902790905.1
AF371714.1.1434	1	0.0326	GCA_900767815.1
AF371720.1.1436	1	0.077697	GCF_014982805.1
AF371735.1.1453	1	0.170536	GCF_002160955.1
AF371741.1.1423	1	0.119282	GCF_014384905.1
AF371743.1.1426	1	0.09363	GCA_021201755.1
AF371744.1.1240	1	0.046954	GCF_000468015.1
AF371746.1.1412	1	0.169717	GCA_000701945.1
AF371754.1.1432	1	0.208508	GCA_021201135.1
AF371756.1.1451	4	0.107182	GCF_000723465.1
AF371757.1.1435	1	0.204213	GCA_900104565.1
AF371758.1.1352	1	0.204213	GCA_900104565.1
AF371779.1.1452	1	0.145242	GCA_021202555.1
AF371790.1.1446	1	0.10994	GCA_916988195.3
AF371793.1.1451	1	0.10994	GCA_916988195.3
AF371802.1.1417	1	0.070054	GCF_021531435.1
AF371803.1.1457	1	0.086523	GCF_014281125.1
AF371804.1.1446	1	0.135137	GCA_002841545.1
AF371806.1.1454	1	0.015088	GCA_021531865.1
AF371811.1.1357	1	0.082217	GCA_900751685.1
AF371814.1.1377	1	0.158897	GCA_900751685.1
AF371817.1.1388	1	0.077489	GCA_900751685.1
AF371821.1.1408	1	0.091318	GCF_002160895.1
AF371823.1.1425	1	0.085769	GCA_010206265.1
AF371829.1.1421	1	0.072487	GCF_014982785.1
AF371831.1.1421	3	0.126942	GCA_017569285.1
AF371864.1.1447	1	0.018006	GCF_023336895.1
AF371871.1.1476	1	0.057657	GCF_900116045.1
AF371894.1.1455	1	0.161931	GCF_019973375.1
AF371914.1.1431	1	0.074553	GCA_002477945.1
AF371943.1.1444	1	0.126486	GCF_000949455.1
AF371946.1.1457	1	0.124897	GCA_902765005.1
AF371949.1.1454	1	0.038367	GCA_004558825.1
AF372092.1.1341	1	0.004481	GCF_000254135.1
AF376216.1.1417	1	0.03484	GCA_025152575.1
AF376220.1.1331	1	0.055205	GCF_014982805.1
AF376221.1.1337	1	0.137035	GCF_900197595.1
AF376225.1.1337	1	0.119282	GCF_014384905.1
AF376229.1.1349	1	0.022879	GCF_900291975.1
AF385506.1.1500	1	0.170193	GCA_015207035.1
AF385510.1.1522	1	0.122094	GCA_000242235.1
AF385522.1.1499	3	0.1146	GCF_000466265.1
AF385557.1.1477	4	0.056265	GCF_003862485.1
AF385571.1.1498	5	0.04201	GCF_018128225.1
AF385577.1.1508	4	0.066838	GCF_016651435.1
AF386081.1.1436	1	0.022096	GCF_006227205.1
AF408262.1.1499	1	0.029784	GCF_010120595.1
AF414809.1.1363	1	0.045116	GCF_000010505.1
AF426101.1.1455	2	0.138354	GCF_024181285.1
AF426827.1.1248	1	0.020677	GCF_900605015.1
AF432082.1.1445	5	0.001359	GCF_001025195.1
AF432138.1.1487	5	0.030811	GCF_018128245.1
AF432140.1.1538	1	0.233152	GCA_015059435.1
AF432141.1.1499	1	0.133023	GCA_002786915.1
AF439641.1.1400	4	0.007336	GCF_002959915.1
AF439782.1.1700	2	37.656221	GCF_014655955.1
AF473834.1.1411	1	0.008789	GCF_000165735.1
AF473836.1.1409	1	0.151677	GCF_002959915.1
AF473837.1.1440	1	0.025254	GCF_000194985.1
AF479674.1.1543	2	0.013408	GCF_000155955.1
AF481226.1.1480	1	0.033764	GCF_003043945.1
AF481227.1.1485	1	0.030279	GCF_000146675.1
AF487679.1.1504	2	0.007052	GCF_001457435.1
AF491832.1.1454	2	0.007826	GCF_001025175.1
AF491835.1.1454	2	0.011641	GCF_001025175.1
AF491836.1.1453	2	0.007616	GCF_001025175.1
AF499899.1.1248	2	0.028337	GCF_004793765.1
AF499902.1.1477	6	0.033545	GCF_023347535.1
AF499911.1.1224	2	0.007289	GCF_005145025.1
AF542228.1.1396	1	0.010725	GCF_900176115.1
AF542231.1.1414	3	0.010487	GCF_900637905.1
AF542233.1.1411	3	0.012017	GCF_000156575.1
AF550610.1.1416	1	0.046454	GCA_002841545.1
AF550641.1.1417	3	0.041646	GCF_002738305.1
AF550651.1.1555	3	0.035354	GCF_013372125.1
