0,t-SNE1,t-SNE2
AB300988.1.1342,-38.588665,-27.472845
AB300989.1.1489,-49.438465,14.695352
AB331897.1.1481,-39.109703,-28.210514
AB365975.1.1498,17.859919,30.720966
AB370249.1.1521,25.93497,-45.244007
AB374136.1.1447,-35.69976,45.428646
AB425276.1.1515,63.100582,-16.473707
AB425929.1.1502,67.09665,-10.2731285
AB438958.1.1532,-31.685024,83.39418
AB443948.1.1484,-51.64773,14.917455
AB443949.1.1486,-26.964926,-25.160555
AB444081.1.1207,-65.25086,-2.9539511
AB470329.1.1491,29.859236,61.426903
AB470343.1.1485,25.233278,27.021753
AB480534.1.1481,-4.9763803,61.87192
AB487517.1.1356,-42.86458,47.841305
AB487690.1.1322,-8.164798,-72.0124
AB490801.1.1479,-58.24492,-29.010784
AB490804.1.1482,40.975864,8.114947
AB490806.1.1463,-1.355942,-28.607117
AB490809.1.1497,-26.62115,-11.98044
AB490810.1.1469,-40.90999,-27.693714
AB490811.1.1610,8.371921,-43.732372
AB491209.1.1485,62.034817,-34.036724
AB491210.1.1485,-36.36509,-49.90365
AB491723.1.1422,-33.616592,-16.877829
AB494814.1.1500,26.27622,58.255337
AB505075.1.1496,32.189655,54.217663
AB506139.1.1558,62.378025,-57.77795
AB506166.1.1495,-39.43809,-7.807727
AB506172.1.1523,-3.3634884,-16.446321
AB506185.1.1506,-36.205635,-19.396484
AB506188.1.1515,-39.225346,-8.237374
AB506192.1.1523,-28.694294,-0.54216135
AB506199.1.1508,4.1275344,3.4464555
AB506227.1.1518,-52.208244,-41.8653
AB506232.1.1522,31.687973,-59.63363
AB506250.1.1525,40.219234,-45.58563
AB506253.1.1527,-47.379696,-43.574104
AB506266.1.1511,24.520386,-9.785728
AB506279.1.1563,-36.95373,-43.061993
AB506315.1.1513,-43.54988,-56.183903
AB506348.1.1522,-36.857937,-63.97957
AB506360.1.1531,-53.554066,-2.0994983
AB506361.1.1516,-55.565052,-50.661255
AB506369.1.1506,-60.984726,-1.7982789
AB506371.1.1509,-46.48599,-52.653374
AB506372.1.1510,7.784435,-2.1789632
AB506381.1.1523,-56.858208,2.3956056
AB506382.1.1509,-47.02222,-42.069195
AB506388.1.1517,-37.45797,-44.85063
AB506413.1.1616,-57.061054,4.5263734
AB506424.1.1522,14.34068,-37.869976
AB506558.1.1496,21.961565,-59.513374
AB506573.1.1493,45.25786,32.435005
AB506579.1.1499,4.5313015,-48.503925
AB506623.1.1506,45.106003,32.699295
AB507168.1.1517,64.035095,-18.22629
AB507643.1.1557,-6.6003804,-40.45762
AB507661.1.1539,-24.2323,-2.8158693
AB509211.1.1451,-31.641506,-55.53775
AB510707.1.1473,14.349481,-29.542196
AB510708.1.1476,60.23285,-29.757004
AB512047.1.1509,-23.87748,-3.3862083
AB521998.1.1477,-40.859627,58.024258
AB525415.1.1503,-14.624863,55.317104
AB530190.1.1489,32.24645,-42.842403
AB538433.1.1488,-4.633654,82.938225
AB547648.1.1487,12.870094,-27.678223
AB547649.1.1485,5.7057943,-5.8786016
AB547651.1.1480,13.088253,-32.699337
AB547668.1.1490,5.7349815,83.4379
AB547670.1.1491,-2.7239273,78.2958
AB547672.1.1495,-2.4540625,87.39577
AB547673.1.1490,35.48747,-9.38373
AB547674.1.1479,37.23686,-9.481235
AB547676.1.1493,4.9466915,83.81886
AB547677.1.1479,10.473724,81.090096
AB547682.1.1492,35.23733,-9.538319
AB547683.1.1480,35.280735,-9.571354
AB547696.1.1280,-14.711087,58.516113
AB547703.1.1492,1.937747,48.89449
AB547706.1.1493,37.84744,-9.319756
AB548674.1.1491,57.42557,-6.604683
AB554230.1.1487,80.75561,-3.3944664
AB554231.1.1489,81.25371,-0.2987867
AB554233.1.1486,77.58133,3.4715848
AB558171.1.1473,-10.254576,58.08714
AB558487.1.1504,-28.980381,-15.456295
AB559618.1.1515,-22.73423,-35.223324
AB559621.1.1499,25.315105,-32.29208
AB566418.1.1473,68.37137,-20.950708
AB571656.1.1493,56.462822,-9.078701
AB574479.1.1484,-69.5709,20.862076
AB574480.1.1486,-0.5432956,-26.070013
AB574481.1.1484,40.561306,-38.97951
AB574482.1.1489,-54.905586,14.659715
AB595132.1.1457,10.38715,-10.867015
AB595135.1.1467,54.597187,-38.42929
AB595138.1.1492,-7.6105914,56.01231
AB598741.1.1413,-16.634169,36.11002
AB601001.1.1469,1.0590178,-4.2088203
AB606256.1.1495,-60.96134,-15.326197
AB606284.1.1481,-15.486741,-67.35693
AB606308.1.1509,-72.186676,21.7407
AB606352.1.1486,-44.906685,-61.931652
AB606378.1.1511,-57.19655,-47.331345
AB606383.1.1494,-79.68945,8.832453
AB606384.1.1479,-70.78327,13.125197
AB606399.1.1479,-49.105095,-42.038963
AB608051.1.1488,14.641938,31.687775
AB612796.1.1482,-34.12165,-56.451874
AB614872.1.1469,-13.866236,-13.254124
AB616133.1.1466,3.525291,43.800705
AB616155.1.1470,-50.14125,-44.001858
AB616299.1.1516,22.405167,53.30207
AB618996.1.1275,-49.46295,59.493713
AB626049.1.1495,62.965965,-14.222603
AB626897.1.1485,-76.38127,9.332477
AB626907.1.1496,-46.709995,-20.534515
AB626919.1.1479,-62.33915,-19.674198
AB626927.1.1498,-70.042694,20.989048
AB626931.1.1494,-13.618617,-15.467238
AB626948.1.1493,-81.51861,17.559889
AB627586.1.1525,-7.355451,-29.515242
AB627676.1.1520,-14.914122,-15.127622
AB627687.1.1526,-70.042496,12.458798
AB636945.1.1426,-40.08979,48.067295
AB638860.1.1489,-28.937029,44.740593
AB639144.1.1469,-6.1373515,88.13243
AB649277.1.1490,52.61592,-6.1944623
AB662961.1.1419,8.045358,16.400524
AB678451.1.1353,63.922363,-34.73356
AB680374.1.1442,63.992916,-15.843403
AB680533.1.1482,65.1648,-7.8583198
AB680534.1.1414,64.639465,-43.583466
AB680625.1.1447,-8.048841,56.443127
AB680681.1.1443,-0.20146912,79.42097
AB681219.1.1466,48.0153,-25.990755
AB681297.1.1474,67.93468,-13.997386
AB681369.1.1472,-35.25568,45.026028
AB681574.1.1283,-37.624107,30.289955
AB681920.1.1462,-22.88319,45.535503
AB693143.1.1405,-73.437004,28.45454
AB696394.1.1357,-40.34386,26.355988
AB697157.1.1394,24.345459,61.914333
AB698720.1.1455,-48.653957,43.78783
AB700379.1.1452,39.54075,42.122547
AB702721.1.1496,-70.484215,21.956928
AB702729.1.1497,-77.717316,19.39894
AB702751.1.1405,-68.99549,23.532785
AB702753.1.1392,-72.28909,21.70595
AB702756.1.1405,-74.445656,20.486294
AB702765.1.1492,-77.08709,25.297445
AB702766.1.1491,-79.2335,17.303322
AB702771.1.1395,-74.99098,21.108736
AB702802.1.1393,-67.707,-26.909395
AB702839.1.1406,22.963747,59.59433
AB702870.1.1395,-62.841793,-12.563737
AB702884.1.1495,-83.91254,12.431784
AB702916.1.1364,-42.885517,-20.700306
AB733112.1.1328,-18.607183,26.586603
AB735688.1.1201,-16.158842,37.94534
AB739697.1.1442,-69.33404,-18.494976
AB741661.1.1324,-1.6918708,26.538216
AB741662.1.1324,-3.3529735,26.346127
AB741663.1.1324,-5.453896,26.091335
AB741665.1.1324,20.94366,53.581863
AB741688.1.1324,-5.5723042,26.541946
AB741690.1.1324,-8.361769,23.168373
AB741696.1.1324,-2.113152,26.872618
AB742106.1.1431,37.428646,9.681342
AB746750.1.1530,26.745804,26.431349
AB746810.1.1518,-12.21759,-43.54489
AB749382.1.1389,-33.480858,35.456833
AB772259.1.1253,-24.754206,22.211216
AB775005.1.1253,26.394018,64.2789
AB780934.1.1454,44.38139,-6.4366007
AB819042.1.1224,58.715546,-9.983139
AB821767.1.1524,-42.17677,-51.014244
AB821808.1.1525,-2.8137193,-7.207485
AB822953.1.1572,61.80931,-51.554592
AB824383.1.1515,-69.556595,13.6240425
AB824585.1.1514,-38.92435,-55.85729
AB824647.1.1509,-42.713654,-40.6622
AB826025.1.1593,-60.12076,-11.1352215
AB849349.1.1221,16.99312,33.748085
AB855773.1.1512,21.619696,57.689873
AB861981.1.1489,5.7533164,-10.2657175
AB874571.1.1447,11.426145,-28.495264
AB910337.1.1492,-20.790895,31.200119
AB916501.1.1486,49.406353,-39.77802
AB920828.1.1412,-54.99266,50.973045
AB930590.1.1483,22.266516,59.556553
AB934524.1.1365,-72.90088,16.260128
AB934533.1.1365,-63.91571,10.773176
AB934596.1.1362,-59.68951,7.994573
AB934611.1.1394,-20.80528,32.89682
AB934632.1.1349,-32.55945,-19.441013
AB934705.1.1348,-68.31888,14.5152235
AB934715.1.1349,-79.033165,14.36752
AB934716.1.1353,-18.397917,-56.42546
AB934726.1.1341,24.44172,55.482273
AB934730.1.1351,-82.34895,10.993934
AB934731.1.1350,-72.69088,10.002014
AB934732.1.1349,16.047335,19.827944
AB934744.1.1341,-6.719617,-65.26725
AB934775.1.1342,-14.401142,-62.220848
AB934779.1.1351,-62.62495,-12.903393
AB934796.1.1350,-14.137256,-29.41534
AB934798.1.1350,-85.27975,17.753092
AB934800.1.1322,-39.270786,-56.529114
AB934801.1.1351,-72.92243,-8.50663
AB934802.1.1340,-37.86672,-56.727814
AB934822.1.1349,-69.08521,13.308193
AB934830.1.1348,-58.03472,-8.827057
AB934837.1.1365,-68.764084,13.549672
AB934839.1.1350,-15.223568,1.130873
AB934852.1.1327,-62.675632,-12.321929
AB934853.1.1327,-65.83435,-4.4049664
AB934872.1.1350,17.538849,59.973
AB934882.1.1351,-6.284994,-20.438072
AB936635.1.1441,-11.785589,-15.529949
AB969320.1.1524,0.73375577,-15.588154
AB969372.1.1521,70.720215,16.30931
AB969380.1.1523,66.94621,26.452513
AB969399.1.1506,-76.5215,15.188237
AB969443.1.1542,-78.82736,17.047792
AB969596.1.1523,50.85697,-7.5696063
AB969601.1.1522,-19.84482,40.813606
AB969619.1.1529,-70.53761,13.732075
AB971869.1.1245,-39.080227,44.93358
ABCA03000037.60092.61588,32.644104,-48.853706
ABDV01000025.23975.25492,-28.078112,24.746574
ABDX01000067.78.1390,60.791523,-12.834117
ABEZ02000012.1768.3258,84.59905,-0.38664576
ABEZ02000015.506.1996,-37.87997,0.67202294
ABGD02000021.1868.3380,53.294544,-10.029666
ABIK02000013.103269.104574,-45.760963,-6.216999
ABIY02000114.1.1263,-38.927032,-27.978666
ABJL02000007.1225076.1226586,6.205974,-32.928017
ABOU02000049.4536.6056,39.01988,-37.624004
ABQC02000019.758957.760260,-38.98666,-28.110016
ABQR01000074.101.1610,53.355694,-10.542877
ABWK02000005.70.1618,12.327488,-43.298096
ABWK02000010.137802.139350,7.3094754,-43.783466
ABWL02000011.84303.85559,-11.052602,19.48676
ABWN01000012.312.1822,31.869339,-44.009598
ABXI02000116.1.1285,-62.682724,-34.835026
AC145820.26622.28093,-47.53622,44.80689
ACBX02000025.1.1217,-68.55463,-3.2173598
ACBZ01000217.267.1788,23.4017,24.91812
ACCF01000268.3369.4627,-46.390617,-7.9874973
ACCJ01000522.48.1565,52.76809,-12.679055
ACCK01000460.1.1313,4.253198,-50.02383
ACDP02000005.388.1906,-56.383636,-41.527084
ACFE01000007.338.1763,16.361734,31.934744
ACGI01000130.79.1442,67.234314,-10.201465
ACGV01000168.71.1473,1.9225862,10.539112
ACIP02000003.114175.115697,-7.495067,50.293457
ACKS01000100.344.1864,8.821127,81.29074
ACKT01000055.15.1310,-8.836802,57.03204
ACLA01000028.1.1216,2.2736592,61.69318
ACON01000003.712136.713636,-8.568813,53.332985
ACTH01000059.589.2110,20.073915,29.809607
ACUX02000006.1.1301,-5.714776,51.911457
ADBC01000153.367.1631,28.629194,9.108839
ADFR01000011.3460.4852,-7.9887795,53.000847
ADGI01000045.4219.5736,-9.107994,60.71002
ADLN01000129.202.1639,46.91605,-7.481905
AE000513.2467934.2469435,-38.943275,57.2545
AE015928.3034714.3036195,63.43655,-44.434353
AEON01000002.393494.395009,-9.030576,48.092587
AEUH01000060.4040.5574,3.820844,38.700546
AF000221.1.1418,-20.191483,32.88354
AF010252.1.1373,-8.087179,27.38695
AF023052.1.1471,-10.231022,63.8123
AF032127.1.1469,-28.561417,44.16854
AF035054.1.1416,-25.326235,50.564568
AF047850.1.1200,-14.025633,-15.279151
AF061347.1.1502,-11.133403,64.180824
AF072471.1.1420,-78.22078,28.09156
AF073448.1.1435,0.01669386,79.81208
AF101240.1.1465,-5.282638,51.325794
AF109792.1.1461,-40.81272,58.012638
AF125590.1.1459,-9.852092,63.836
AF125593.1.1421,-6.255062,64.08546
AF127912.1.1614,-72.66498,22.131819
AF129443.1.1436,-5.5761647,28.529161
AF129444.1.1436,-5.591657,28.547964
AF129868.1.1462,-12.068628,-15.711439
AF132232.1.1493,-54.195744,-49.44448
AF132261.1.1437,5.7628164,-6.6936927
AF132263.1.1446,52.866135,-40.761578
AF132270.1.1279,-61.43955,-42.10372
AF132280.1.1277,-62.66431,-37.455807
AF132281.1.1427,-49.759155,-44.529766
AF132283.1.1280,4.8521304,-36.43058
AF132284.1.1359,18.2783,-8.411981
AF142062.1.1430,-21.152822,20.612852
AF143835.1.1303,-29.267647,11.114067
AF145752.1.1280,-26.859999,63.383217
AF153858.1.1349,-69.2315,-22.633137
AF175281.1.1339,-5.74557,28.128304
AF175403.1.1471,34.980087,-63.603363
AF186072.1.1492,-28.340883,18.142967
AF192152.1.1542,-62.151684,-31.739214
AF206305.1.1461,-8.7897415,61.439953
AF207074.1.1392,-17.49854,36.946037
AF231131.1.1494,-32.764225,34.000607
AF233876.1.1443,-27.689476,46.431217
AF251035.1.1484,-10.771097,58.732674
AF253365.1.1402,58.380722,9.365809
AF275894.1.1267,-4.628264,-34.75916
AF287762.1.1511,-8.277144,63.59044
AF287769.1.1493,-5.828449,52.519753
AF287772.1.1541,-8.710189,63.473457
AF287775.1.1476,-21.145359,63.85008
AF321038.1.1379,-20.990772,32.09957
AF338413.1.1408,-5.7116117,52.54567
AF348748.1.1327,-27.38996,-48.54278
AF349756.1.1335,-11.846997,-58.629078
AF349930.1.1400,-22.849958,15.72105
AF349933.1.1228,17.538202,-4.4569654
AF349937.1.1220,-25.773113,25.969454
AF354055.1.1752,-78.218925,28.017868
AF359941.1.1346,-17.110142,54.003284
AF371524.1.1337,4.0707994,-38.12426
AF371526.1.1384,-45.29224,-56.783516
AF371544.1.1441,66.99271,26.783932
AF371549.1.1455,-69.1623,13.374254
AF371626.1.1448,-54.108868,0.7982799
AF371628.1.1465,28.481703,25.727104
AF371633.1.1455,2.9528403,-47.909817
AF371634.1.1454,-40.683453,-56.59441
AF371637.1.1465,-40.477936,-56.448833
AF371644.1.1419,-37.90726,-58.127422
AF371648.1.1457,69.45232,43.64438
AF371654.1.1443,-43.26909,-63.809666
AF371660.1.1453,-45.1966,3.1893694
AF371675.1.1449,-37.126286,-15.776143
AF371677.1.1456,-49.0759,-58.474976
AF371678.1.1465,-42.59969,9.672174
AF371679.1.1429,-12.967452,-16.365105
AF371681.1.1418,24.181675,10.848981
AF371688.1.1398,12.9415655,-36.87341
AF371714.1.1434,-39.74581,-50.32695
AF371720.1.1436,-21.760666,30.62733
AF371735.1.1453,49.29016,-60.21024
AF371741.1.1423,-70.12935,6.8776665
AF371743.1.1426,-73.08574,9.023843
AF371744.1.1240,-73.115005,-27.607328
AF371746.1.1412,-46.5732,-56.833714
AF371754.1.1432,8.728456,-55.5585
AF371756.1.1451,68.706604,35.14267
AF371757.1.1435,2.5890656,-43.790714
AF371758.1.1352,-42.094547,-54.06966
AF371779.1.1452,-12.255569,-13.7386675
AF371790.1.1446,-61.058445,-9.370171
AF371793.1.1451,26.68121,26.575678
AF371802.1.1417,-39.570602,-60.701675
AF371803.1.1457,-45.249317,-46.943665
AF371804.1.1446,-55.658497,-14.220251
AF371806.1.1454,-16.928242,7.694961
AF371811.1.1357,-70.31842,6.736424
AF371814.1.1377,-51.623497,-48.414932
AF371817.1.1388,71.53037,36.99079
AF371821.1.1408,68.436295,34.445007
AF371823.1.1425,-38.29887,-10.503262
AF371829.1.1421,4.139501,-44.248672
AF371831.1.1421,13.210573,-35.353184
AF371864.1.1447,-49.756042,6.6596518
AF371871.1.1476,-40.306915,-65.33105
AF371894.1.1455,-42.314075,-65.70687
AF371914.1.1431,-21.123617,20.602856
AF371943.1.1444,11.917225,27.775633
AF371946.1.1457,-54.85599,-19.983847
AF371949.1.1454,-40.988014,-64.500465
AF372092.1.1341,30.002066,-62.02623
AF376216.1.1417,-40.073307,-12.070429
AF376220.1.1331,-53.068832,-5.5543303
AF376221.1.1337,-65.99803,-8.84465
AF376225.1.1337,-53.494286,-13.745112
AF376229.1.1349,-43.835754,-6.7452335
AF385506.1.1500,1.1477661,44.746964
AF385510.1.1522,-12.434415,55.77339
AF385522.1.1499,1.3395121,38.78977
AF385557.1.1477,-16.126831,-69.94994
AF385571.1.1498,-21.413256,60.534637
AF385577.1.1508,-7.8868814,63.135242
AF386081.1.1436,25.506073,61.245464
AF408262.1.1499,14.022794,33.41559
AF414809.1.1363,-73.0675,28.966734
AF426101.1.1455,0.030410498,83.89885
AF426827.1.1248,-8.292632,-6.344567
AF432082.1.1445,63.086704,-27.561935
AF432138.1.1487,-14.685283,57.612873
AF432140.1.1538,-11.657562,58.497997
AF432141.1.1499,63.48165,-3.3811147
AF439641.1.1400,-2.3329055,37.14664
AF473834.1.1411,-17.438377,50.376366
AF473836.1.1409,-2.9960732,78.42745
AF473837.1.1440,-1.8623258,81.64709
AF479674.1.1543,20.841724,-50.80669
AF481226.1.1480,6.9725075,43.51306
AF481227.1.1485,-10.634611,61.5149
AF487679.1.1504,3.1993253,88.71454
AF491832.1.1454,63.96018,-16.18007
AF491835.1.1454,-8.454466,20.016928
AF491836.1.1453,21.782108,55.590687
AF499899.1.1248,-64.80583,-34.817825
AF499902.1.1477,59.25456,-41.0394
AF499911.1.1224,-51.29631,28.056559
AF542228.1.1396,0.43875372,78.783714
AF542231.1.1414,60.058933,-7.4041834
AF542233.1.1411,9.219237,80.04193
AF550610.1.1416,-56.701843,-11.963115
AF550641.1.1417,-33.355392,-55.069466
AF550651.1.1555,-5.937418,59.13404
AF550652.1.1555,-5.9992657,59.126507
AFRD01000591.5123.7037,-47.894817,27.546911
AFYE01000091.124.1666,36.99433,-61.786404
AFZE01000039.3843.5359,-8.940051,63.464787
AFZY01000009.80.1511,1.7602199,7.7923446
AGCI01000028.1.1356,1.3168871,3.7558756
AGEJ01000013.153803.155242,-7.9052563,53.038925
AGSE01000001.236147.237673,31.553957,-25.844782
AGXQ01000010.543.2059,38.29761,-62.307484
AGXT01000041.79243.80759,1.5921006,-6.5530095
AGXW01000006.688.2204,12.86786,-31.377728
AGZE01000001.1.1322,-3.5996246,91.68206
AGZQ01000017.129.1643,62.945415,-45.981518
AJ005635.1.1447,-10.926103,61.79032
AJ006962.1.1476,-13.570306,59.33198
AJ006963.1.1453,-12.730601,52.19338
AJ131121.1.1481,-15.793732,36.57053
AJ131149.1.1456,44.34918,-31.603304
AJ131915.1.1336,-53.843555,48.742123
AJ132842.30.1345,40.89316,7.950173
AJ223454.1.1470,-28.38161,35.89056
AJ233437.1.1480,23.5104,55.61713
AJ234040.1.1412,1.7223052,38.93699
AJ234041.1.1397,3.272448,48.153004
AJ234053.1.1371,2.8466218,40.389534
AJ234058.1.1367,-0.24559145,40.20122
AJ239289.1.1355,-14.485987,69.059906
AJ239291.1.1355,1.5113662,48.779778
AJ239312.1.1355,-73.12428,28.897335
AJ243791.1.1423,-12.846883,32.19707
AJ243966.1.1459,10.690541,38.546715
AJ244698.1.1496,-65.86366,39.575256
AJ247194.1.1416,-51.465565,42.063694
AJ249859.1.1350,-34.333855,-52.003998
AJ251630.1.1502,46.043465,-14.891121
AJ251986.1.1401,-38.562477,59.959015
AJ270486.1.1241,-12.358161,2.561484
AJ270951.1.1252,-1.6072054,8.572834
AJ271894.1.1448,-11.48573,48.532063
AJ272467.1.1202,-42.423935,60.916645
AJ276874.1.1420,0.49787447,78.88992
AJ277208.1.1350,-1.3496823,46.630043
AJ278694.1.1411,14.637999,22.968414
AJ289173.1.1446,-12.0746355,62.915443
AJ290754.1.1466,-28.300814,25.573572
AJ290758.1.1466,2.4996698,48.519615
AJ291746.1.1317,-23.150028,17.50052
AJ292530.41.1371,-19.21008,15.985153
AJ292676.1.1501,10.050133,77.256386
AJ295350.1.1354,37.488907,-16.741957
AJ296554.1.1289,-52.027668,27.948936
AJ305238.1.1505,49.449608,-18.973967
AJ307005.1.1380,-9.088872,18.19498
AJ308305.1.1371,-28.299152,35.924873
AJ311604.1.1472,66.16491,-34.61222
AJ311606.1.1479,-28.999725,11.174262
AJ315979.1.1406,43.924442,-21.587748
AJ318864.29.1472,24.113605,24.291124
AJ344093.1.1362,-2.358465,78.78906
AJ400261.1.1495,-84.76874,14.5503
AJ400848.134008.135498,0.70838094,-17.896164
AJ408960.1.1496,17.226015,52.999493
AJ420197.1.1444,-9.006899,31.234623
AJ420200.1.1419,-10.92349,51.565792
AJ421779.1.1522,-9.108178,53.462845
AJ430347.1.1345,3.556156,-43.198666
AJ441057.1.1482,-2.9638174,81.73716
AJ508452.1.1498,53.262943,-10.419208
AJ515914.1.1347,2.1436415,-41.733067
AJ518871.1.1462,-47.83839,-9.32989
AJ518873.1.1461,-14.206204,-11.513196
AJ518876.1.1339,-56.116985,-41.3437
AJ540309.1.1413,0.2122956,40.76654
AJ558133.1.1467,-41.591755,55.668434
AJ575726.1.1450,25.609512,62.179493
AJ576075.1.1341,5.0592713,83.68649
AJ576088.1.1420,8.997193,80.92067
AJ576350.1.1454,22.700447,60.591747
AJ586357.1.1440,-17.320448,36.046062
AJ586614.1.1468,-28.500496,44.36506
AJ608235.1.1314,-29.855864,9.953444
AJ608247.1.1335,-41.42909,-49.38268
AJ621555.1.1472,-18.104305,12.603041
AJ697609.1.1517,4.244102,39.8775
AJ746200.1.1452,-40.77334,57.25893
AJ786792.1.1293,-27.9312,44.883186
AJ811975.1.1356,55.423267,-30.494997
AJ812137.1.1354,-33.89338,-45.108738
AJ853503.1.1447,-32.836422,83.76151
AJ853585.1.1447,-33.041317,83.36944
AJ867040.1.1492,-52.46669,37.730247
AJ867049.1.1500,83.35345,-4.9089565
AJ867899.1.1483,-72.16239,-8.4003
AJ874342.1.1448,58.68958,-9.964276
AJ888239.1.1389,-43.01109,55.179863
AJ973157.1.1529,-20.11138,32.29947
AJAL01000017.143922.145468,66.17309,-15.307424
AJAL01000024.33876.35405,-14.812493,35.31802
AJAM01000006.437650.439197,3.566148,21.764107
AJVZ01000001.43924.45432,10.514173,80.51573
AJWZ01008267.13415.14982,-26.528164,-27.828169
AK059639.1.1307,-24.291534,42.16627
AKCU01000562.18830.20227,-26.863876,63.928673
AM084342.1.1363,-10.385543,34.732197
AM176887.1.1449,-33.946373,-15.109774
AM179911.1.1362,-5.251321,27.121082
AM183003.1.1447,-60.262615,-8.456186
AM183057.1.1475,66.314896,-37.903225
AM183074.1.1431,-61.0894,-9.907825
AM183080.1.1438,4.284734,-2.3511744
AM237369.1.1209,-32.261204,46.27242
AM237928.1.1450,7.692156,-49.199703
AM238230.1.1490,64.69246,-37.25066
AM275406.1.1503,30.600285,-42.232677
AM275412.1.1485,30.360874,-46.123013
AM275414.1.1511,-54.171776,-49.899113
AM275467.1.1476,2.3037186,0.7559521
AM275475.1.1514,14.218148,-37.28109
AM275478.1.1447,-44.29099,-16.01099
AM275521.1.1477,-21.282549,-36.582153
AM275604.1.1484,48.240993,-20.232403
AM275737.1.1459,-51.770252,-41.794415
AM275757.1.1484,-52.188313,-44.552628
AM275764.1.1498,-53.143032,-42.51503
AM275765.1.1491,-61.23319,8.362181
AM276076.1.1465,-41.397655,-23.49729
AM276086.1.1464,-9.202835,-17.807293
AM276744.1.1449,67.889244,42.32501
AM277340.1.1500,-58.377308,-3.5551014
AM277369.1.1548,-26.134949,-56.122356
AM277375.1.1485,-71.63046,-8.375409
AM277404.1.1521,-57.814087,-1.18671
AM277455.1.1490,-40.91112,-13.361576
AM277551.1.1476,-54.17805,-51.889877
AM277561.1.1522,-53.108547,-49.420757
