OTU,prevalence,mean_abc
AB272373.1.1283,0.000533104859821981,1.283072690250856e-06
AB286023.1.1473,0.0008662953972107192,6.26865580854686e-06
AB288920.1.1350,0.000614022561759246,1.3706338779168346e-06
AB294138.1.1215,0.000609262696939407,4.884621370685362e-06
AB300988.1.1342,0.10305107334951687,0.0016328925544072045
AB300989.1.1489,0.005673758865248227,2.889192247561584e-05
AB331897.1.1481,0.017544861725926984,0.00015979988193230165
AB365975.1.1498,0.0006330620210386025,4.270317490940751e-07
AB370249.1.1521,0.0009424532343281451,2.104120582685551e-05
AB374136.1.1447,0.0008805749916702366,5.50737680409716e-07
AB425276.1.1515,0.0007044599933361893,1.6926734949304334e-05
AB425929.1.1502,0.0005235851301823028,2.4091251945689445e-06
AB438958.1.1532,0.0008520158027512019,6.623373362860143e-06
AB443948.1.1484,0.0045932695511447475,3.9387265873426605e-06
AB443949.1.1486,0.029615878909038985,4.874851305461577e-05
AB444081.1.1207,0.003712694559474511,4.610845271261567e-06
AB470329.1.1491,0.001880146603836451,2.0734404000684698e-05
AB470343.1.1485,0.0005378647246418202,1.1715832998356105e-06
AB480534.1.1481,0.0007520586415345805,1.5049026105272375e-06
AB487517.1.1356,0.0010043314769860535,1.597503128161141e-06
AB487690.1.1322,0.0009043743157694322,8.073841548249988e-08
AB490801.1.1479,0.07498691037174544,0.00036983301610108457
AB490804.1.1482,0.000609262696939407,1.0274982774256822e-06
AB490806.1.1463,0.0010804893141034794,1.7947597479026224e-06
AB490809.1.1497,0.020914846018373078,1.0578070429281723e-05
AB490810.1.1469,0.003936408206006949,5.4648534979906035e-06
AB490811.1.1610,0.0086153553239088,6.649758805424359e-05
AB491209.1.1485,0.0007853776952734542,3.187462017414104e-06
AB491210.1.1485,0.01998667237850445,8.797504179576727e-05
AB491723.1.1422,0.001066209719643962,4.142293677119149e-07
AB494814.1.1500,0.0045980294159645866,1.1686407105793037e-05
AB505075.1.1496,0.0007901375600932934,1.3101672372866705e-06
AB506139.1.1558,0.0006806606692369937,9.327272795091529e-07
AB506166.1.1495,0.0025893664619924795,5.006855053780393e-06
AB506172.1.1523,0.0008044171545528107,1.6341299327719414e-07
AB506185.1.1506,0.00237041268027988,2.018031544374618e-06
AB506188.1.1515,0.0005521443191013375,6.936130554271244e-07
AB506192.1.1523,0.0012137655290589747,2.2014380049203864e-06
AB506199.1.1508,0.001875386739016612,6.437648557651307e-06
AB506227.1.1518,0.023294778428292636,6.298892323391986e-06
AB506232.1.1522,0.0006901803988766719,2.392139301351858e-06
AB506250.1.1525,0.00425531914893617,3.5349637347128705e-06
AB506253.1.1527,0.003955447665286306,2.1880491626701867e-06
AB506266.1.1511,0.001180446475320101,4.965932781448007e-07
AB506279.1.1563,0.009196058831929173,1.6411169216759365e-05
AB506315.1.1513,0.0010852491789233186,3.922690868746791e-06
AB506348.1.1522,0.0010424103955447666,1.0431550364558549e-06
AB506360.1.1531,0.0007044599933361893,7.771988961934386e-07
AB506361.1.1516,0.006778047503450902,1.4206926589867597e-05
AB506369.1.1506,0.0008091770193726499,4.999741118857285e-07
AB506371.1.1509,0.0013137226902755963,1.957849355704554e-05
AB506372.1.1510,0.001956304440953877,1.6971361428481992e-05
AB506381.1.1523,0.0019515445761340378,2.689753288278703e-06
AB506382.1.1509,0.0035746584796991767,1.0220991426500603e-06
AB506388.1.1517,0.007482507496787091,4.7379958808900895e-05
AB506413.1.1616,0.0006616212099576373,1.972388337936056e-06
AB506424.1.1522,0.004945499547812842,4.04807563088539e-06
AB506558.1.1496,0.001970584035413394,9.857092283276519e-05
AB506573.1.1493,0.0014231995811318959,9.471646978780096e-06
AB506579.1.1499,0.0005664239135608548,1.5308420402577174e-05
AB506623.1.1506,0.0021847779523061547,4.5063105263922774e-05
AB507168.1.1517,0.0009900518825265363,4.778194250124369e-06
AB507643.1.1557,0.0005949831024798896,4.531449796333551e-06
AB507661.1.1539,0.0006473416154981199,7.401373905610639e-06
AB509211.1.1451,0.004812223332857347,1.3291097363155264e-06
AB510707.1.1473,0.00544052548907611,3.2241488103024814e-05
AB510708.1.1476,0.0009662525584273406,1.4997018134988237e-05
AB512047.1.1509,0.0023846922747393974,5.1713379651057905e-06
AB521998.1.1477,0.0009472130991479842,2.664645055994537e-06
AB525415.1.1503,0.007506306820886287,1.2709447145742575e-05
AB530190.1.1489,0.0012804036365367223,1.071710032403042e-05
AB538433.1.1488,0.004974058736731877,1.819189347521711e-05
AB547648.1.1487,0.0007615783711742586,5.603941287885362e-06
AB547649.1.1485,0.024717978009424532,5.815873481769517e-05
AB547651.1.1480,0.002570327002713123,1.4701790755192576e-05
AB547668.1.1490,0.002041982007710981,5.168329440940738e-06
AB547670.1.1491,0.0016659526869436908,1.044911821256528e-05
AB547672.1.1495,0.006587652910657337,5.530682801299314e-06
AB547673.1.1490,0.000609262696939407,8.039144252013453e-06
AB547674.1.1479,0.0010281308010852493,1.3130546939395702e-05
AB547676.1.1493,0.024560902470369843,0.00014091828470356424
AB547677.1.1479,0.007368270741110953,9.503250223043544e-05
AB547682.1.1492,0.0007948974249131325,7.783791762479994e-06
AB547683.1.1480,0.00086153553239088,1.1691917805848957e-05
AB547696.1.1280,0.009019943833595126,3.460366144543752e-05
AB547703.1.1492,0.000818696749012328,1.8708660132297143e-06
AB547706.1.1493,0.000652101480317959,6.77118868019868e-06
AB548674.1.1491,0.000694940263696511,9.689147326115053e-06
AB554230.1.1487,0.0006663810747774763,4.0779292476243e-06
AB554231.1.1489,0.0012756437717168832,2.4365987149273783e-05
AB554233.1.1486,0.0007044599933361893,5.415262070868832e-06
AB558171.1.1473,0.0020610214669903376,5.565157726133852e-06
AB558487.1.1504,0.00963872626017421,7.355367258229763e-05
AB559618.1.1515,0.005559522109572088,1.3001656449520193e-05
AB559621.1.1499,0.0006283021562187634,6.5369655653761645e-06
AB566418.1.1473,0.00183254795563806,4.299102934984065e-06
AB571656.1.1493,0.0007377790470750631,2.6665316785951462e-06
AB574479.1.1484,0.0004855062116235899,1.523709300129133e-06
AB574480.1.1486,0.00118520634013994,2.308832865883534e-06
AB574481.1.1484,0.000856775667571041,4.057740313205513e-06
AB574482.1.1489,0.0007377790470750631,3.4749504931500774e-07
AB595132.1.1457,0.0012851635013565615,1.656063036361613e-05
AB595135.1.1467,0.003260507401589795,2.5807044005275496e-05
AB595138.1.1492,0.0029939549716788043,3.839115713531445e-06
AB598741.1.1413,0.0013851206625731828,8.056081820698923e-07
AB601001.1.1469,0.0016135941739254605,9.19103328595229e-06
AB606256.1.1495,0.006478176019801038,3.105777851259556e-06
AB606284.1.1481,0.0007425389118949022,6.777587486196781e-07
AB606308.1.1509,0.0029987148364986433,6.744304879752707e-06
AB606352.1.1486,0.0023799324099195583,3.0642798790159128e-06
AB606378.1.1511,0.0056689990004283874,7.759261938526108e-06
AB606383.1.1494,0.0013803607977533438,2.276656726732759e-06
AB606384.1.1479,0.0010709695844638013,5.049887716562717e-07
AB606399.1.1479,0.008382121947736684,2.019524950017739e-06
AB608051.1.1488,0.0010090913418058928,2.695831012731839e-06
AB612796.1.1482,0.0008044171545528107,2.893327558123869e-07
AB614872.1.1469,0.0006473416154981199,8.878311694692949e-07
AB616133.1.1466,0.000490266076443429,1.4104108035335871e-06
AB616155.1.1470,0.02985863201485078,1.874466913928037e-05
AB616299.1.1516,0.0005378647246418202,1.5349255597435293e-06
AB618996.1.1275,0.0006378218858584416,6.213429860874864e-07
AB626049.1.1495,0.0006711409395973154,6.298371496566997e-06
AB626897.1.1485,0.0012328049883383312,1.8317964581406846e-06
AB626907.1.1496,0.020124708458279784,6.233149193600442e-06
AB626919.1.1479,0.013322861630729687,1.5094135348041904e-05
AB626927.1.1498,0.0008662953972107192,5.685919489175554e-06
AB626931.1.1494,0.0005426245894616593,1.252390803069777e-07
AB626948.1.1493,0.0005378647246418202,9.914656689098141e-07
AB627586.1.1525,0.0005235851301823028,2.249011064003347e-07
AB627676.1.1520,0.001104288638202675,2.715323460366804e-07
AB627687.1.1526,0.0011566471512209054,3.6232175880997637e-06
AB636945.1.1426,0.0004759864819839117,5.222042482474852e-07
AB638860.1.1489,0.000571183778380694,3.1880804390922087e-06
AB639144.1.1469,0.008919986672378505,8.431952877336524e-05
AB649277.1.1490,0.0012137655290589747,9.54643650823481e-07
AB662961.1.1419,0.0006901803988766719,2.541409876435899e-06
AB678451.1.1353,0.0016849921462230473,6.014772186562076e-06
AB680374.1.1442,0.0010804893141034794,4.904068630745824e-06
AB680533.1.1482,0.0014660383645104479,6.41383414136402e-07
AB680534.1.1414,0.0014755580941501261,1.1407086003765888e-05
AB680625.1.1447,0.002437050787757628,5.977737271528898e-06
AB680681.1.1443,0.0019896234946927506,1.2468891205575114e-05
AB681219.1.1466,0.0017278309296015993,1.8931110809669344e-06
AB681297.1.1474,0.0005521443191013375,6.983193667030045e-07
AB681369.1.1472,0.0008853348564900757,7.721778978771567e-07
AB681574.1.1283,0.001228045123518492,3.385635846718454e-05
AB681920.1.1462,0.0005664239135608548,6.134309686891847e-07
AB693143.1.1405,0.0015136370127088392,1.1710149604501486e-05
AB696394.1.1357,0.0005093055357227855,1.3564498387248044e-06
AB697157.1.1394,0.002398971869198915,7.938666592825033e-07
AB698720.1.1455,0.0005854633728402113,5.671001867848819e-07
AB700379.1.1452,0.0011280879623018706,2.4535961721501692e-05
AB702721.1.1496,0.0005807035080203722,9.61052035604073e-07
AB702729.1.1497,0.000609262696939407,7.338032740442419e-06
AB702751.1.1405,0.0012328049883383312,2.440169590491941e-06
AB702753.1.1392,0.0008900947213099148,2.1376634140475185e-06
AB702756.1.1405,0.002656004569470227,8.856012170544796e-06
AB702765.1.1492,0.0017849493074396686,1.0479905890227372e-05
AB702766.1.1491,0.001918225522395164,1.1317533345754148e-05
AB702771.1.1395,0.0024322909229377884,8.308751297888747e-06
AB702802.1.1393,0.007211195202056262,7.067238263472497e-06
AB702839.1.1406,0.0005140654005426246,5.426240458786957e-07
AB702870.1.1395,0.001956304440953877,5.018146883597097e-07
AB702884.1.1495,0.0004950259412632681,3.773206190490208e-07
AB702916.1.1364,0.0016231139035651388,2.2680937959247758e-07
AB733112.1.1328,0.11110000475986483,0.0030453977785300525
AB735688.1.1201,0.000985292017706697,7.482894605529323e-07
AB739697.1.1442,0.0058498738635822745,2.4832788972609076e-05
AB741661.1.1324,0.0016040744442857822,1.2274378151868058e-05
AB741662.1.1324,0.0007330191822552239,3.861915830793184e-06
AB741663.1.1324,0.002356133085820363,1.50770721537495e-05
AB741665.1.1324,0.0005235851301823028,4.4184058682045e-06
AB741688.1.1324,0.005940311295159218,6.702792709733883e-05
AB741690.1.1324,0.002127659574468085,1.7647205163691804e-05
AB741696.1.1324,0.002484649435956019,3.164627665074213e-05
AB742106.1.1431,0.000490266076443429,9.726779775104988e-07
AB746750.1.1530,0.0006187824265790851,8.010454055881023e-07
AB746810.1.1518,0.0009329335046884668,1.4412954751927344e-06
AB749382.1.1389,0.0011138083678423534,1.973369890492832e-06
AB772259.1.1253,0.0007092198581560284,1.917213154366282e-06
AB775005.1.1253,0.007025560474082536,0.00014416051978893916
AB780934.1.1454,0.0022704555190632587,4.670243121839177e-06
AB819042.1.1224,0.001308962825455757,7.250758047802527e-05
AB821767.1.1524,0.0029035175401018612,7.265683939562974e-06
AB821808.1.1525,0.000818696749012328,8.27090577292011e-06
AB822953.1.1572,0.0008234566138321671,1.2046038508557088e-06
AB824383.1.1515,0.0005378647246418202,1.100244915005559e-06
AB824585.1.1514,0.0010995287733828359,3.0016313325836124e-07
AB824647.1.1509,0.0006759008044171545,2.712445451923619e-07
AB826025.1.1593,0.0005616640487410158,6.238792905477334e-08
AB849349.1.1221,0.0012518444476176877,2.0481795836633525e-05
AB855773.1.1512,0.00118520634013994,2.9099489053300694e-06
AB861981.1.1489,0.000980532152886858,2.940786905811387e-06
AB874571.1.1447,0.004845542386596221,5.077439418205769e-06
AB910337.1.1492,0.0015136370127088392,1.4299657998091087e-05
AB916501.1.1486,0.004326717121233757,6.311094613233726e-06
AB920828.1.1412,0.0022180970060450282,5.0872916826788525e-06
AB930590.1.1483,0.0008424960731115236,1.0762749750121053e-06
AB934524.1.1365,0.0010566899900042838,3.995920765320789e-06
AB934533.1.1365,0.0005093055357227855,1.6343797273101432e-06
AB934596.1.1362,0.0007901375600932934,4.344246381881524e-06
AB934611.1.1394,0.0006473416154981199,5.331419964980117e-06
AB934632.1.1349,0.01255176352991575,4.070042650315846e-05
AB934705.1.1348,0.0004855062116235899,3.490825333105044e-07
AB934715.1.1349,0.0012804036365367223,4.214889594359963e-06
AB934716.1.1353,0.001394640392212861,1.235135631886514e-06
AB934726.1.1341,0.00733019182255224,7.728216351250334e-05
AB934730.1.1351,0.00048074634680375075,8.512230858975302e-07
AB934731.1.1350,0.0014755580941501261,2.135375807697526e-06
AB934732.1.1349,0.0007948974249131325,6.040501472183839e-07
AB934744.1.1341,0.0005521443191013375,3.2949190506908856e-07
AB934775.1.1342,0.0026322052453710315,4.3495076171945334e-06
AB934779.1.1351,0.016926079299347897,7.6142018364848215e-06
AB934796.1.1350,0.001961064305773716,7.331000519071569e-07
AB934798.1.1350,0.0008091770193726499,6.674742178901719e-07
AB934800.1.1322,0.00102337093626541,1.2239589645475067e-06
AB934801.1.1351,0.0036793755057356373,3.404389775262917e-06
AB934802.1.1340,0.0008377362082916845,4.219222015055398e-07
AB934822.1.1349,0.0005616640487410158,2.9704141975705627e-07
AB934830.1.1348,0.004060164691322766,2.989228263832311e-06
AB934837.1.1365,0.0010043314769860535,2.681274799444109e-06
AB934839.1.1350,0.0007710981008139369,6.668186810777617e-07
AB934852.1.1327,0.008553477081250892,1.1186092021675352e-05
AB934853.1.1327,0.06402018182683612,3.477066685555224e-05
AB934872.1.1350,0.008843828835261079,1.117061357091995e-05
AB934882.1.1351,0.000533104859821981,3.2701849944987834e-07
AB936635.1.1441,0.0005569041839211767,1.7876338927738527e-07
AB969320.1.1524,0.011380836784235328,2.4747220410500115e-05
AB969372.1.1521,0.0009567328287876625,1.1237510488034917e-06
AB969380.1.1523,0.003008234566138322,9.521510388588117e-06
AB969399.1.1506,0.0013565614736541483,3.5444474210120345e-06
AB969443.1.1542,0.0009710124232471798,2.021025785601713e-06
AB969596.1.1523,0.0005188252653624637,1.0518169943829746e-06
AB969601.1.1522,0.0007139797229758674,3.2497334001115856e-06
AB969619.1.1529,0.0005426245894616593,1.6761055482786657e-06
AB971869.1.1245,0.0024703698414965014,8.363149166818298e-06
ABCA03000037.60092.61588,0.0007139797229758674,3.932231445984038e-06
ABDV01000025.23975.25492,0.0006616212099576373,4.197922515201184e-06
ABDX01000067.78.1390,0.0013708410681136656,1.0460667902350844e-05
ABEZ02000012.1768.3258,0.000856775667571041,4.368841026786166e-06
ABEZ02000015.506.1996,0.003979246989385501,8.970598447608504e-06
ABGD02000021.1868.3380,0.0010090913418058928,6.45940032682324e-07
ABIK02000013.103269.104574,0.16519110857251654,0.0004607578948463834
ABIY02000114.1.1263,0.11539816269217955,0.002082412111214293
ABJL02000007.1225076.1226586,0.005197772383264315,5.352112895895356e-05
ABOU02000049.4536.6056,0.0012423247179780095,2.278151435668387e-06
ABQC02000019.758957.760260,0.12096720453139131,0.0026038760071075834
ABQR01000074.101.1610,0.0007139797229758674,1.3839329562637717e-06
ABWK02000005.70.1618,0.0031224713218144604,2.5202920129721405e-05
ABWK02000010.137802.139350,0.0043076776619544,2.6622724014017647e-05
ABWL02000011.84303.85559,0.005202532248084154,3.121072853782463e-05
ABWN01000012.312.1822,0.0006711409395973154,6.5303258359085e-06
ABXI02000116.1.1285,0.08278356894664192,0.000630705229109241
AC145820.26622.28093,0.0005378647246418202,9.288981338459284e-07
ACBX02000025.1.1217,0.14462849255081156,0.0067639819371793685
ACBZ01000217.267.1788,0.00749202722642677,5.336306289425539e-05
ACCF01000268.3369.4627,0.15804179161311818,0.0001062350445337057
ACCJ01000522.48.1565,0.0022323766005045457,4.429156631577921e-06
ACCK01000460.1.1313,0.006273501832547956,5.934629650199577e-05
ACDP02000005.388.1906,0.06554809843400447,3.911972580042332e-05
ACFE01000007.338.1763,0.0014422390404112524,4.7653886416416596e-06
ACGI01000130.79.1442,0.000490266076443429,8.521922436656399e-07
ACGV01000168.71.1473,0.003588938074158694,2.2779018211022988e-05
ACIP02000003.114175.115697,0.0016945118758627256,2.6415280052874553e-06
ACKS01000100.344.1864,0.000490266076443429,4.705049105490071e-07
ACKT01000055.15.1310,0.0029606359179399303,1.968618665196837e-06
ACLA01000028.1.1216,0.002322814032081489,4.63579719330293e-06
ACON01000003.712136.713636,0.0028083202437050787,1.073231235212867e-06
ACTH01000059.589.2110,0.001223285258698653,1.9342180932440887e-05
ACUX02000006.1.1301,0.005321528868580132,2.9024786612156556e-06
ADBC01000153.367.1631,0.0005093055357227855,6.078368660951029e-06
ADFR01000011.3460.4852,0.00657337331619782,2.0770822073406685e-06
ADGI01000045.4219.5736,0.0004855062116235899,4.47834217523742e-07
ADLN01000129.202.1639,0.0005093055357227855,1.361358499102675e-06
AE000513.2467934.2469435,0.00199438335951259,1.2696356558680793e-05
AE015928.3034714.3036195,0.0008948545861297539,3.3879917522173264e-06
AEON01000002.393494.395009,0.00641153791232329,1.3323402680153696e-05
AEUH01000060.4040.5574,0.0006901803988766719,4.3378950294670693e-07
AF000221.1.1418,0.0005807035080203722,7.588706063149232e-07
AF010252.1.1373,0.004026845637583893,3.64295348417427e-05
AF023052.1.1471,0.0005235851301823028,4.0189352721289203e-07
AF032127.1.1469,0.0007425389118949022,1.0886962931119048e-05
AF035054.1.1416,0.0005949831024798896,1.945482953279133e-06
AF047850.1.1200,0.0016469132276643343,2.3291945836170678e-06
AF061347.1.1502,0.0006854205340568328,8.436914527839999e-07
AF072471.1.1420,0.0005188252653624637,5.032616585234208e-07
AF073448.1.1435,0.002165738493026798,2.069854648321997e-05
AF101240.1.1465,0.0016849921462230473,1.8154597921359895e-06
AF109792.1.1461,0.001104288638202675,5.851658454753763e-06
AF125590.1.1459,0.0010138512066257318,8.277031024287026e-07
AF125593.1.1421,0.0004950259412632681,1.3415697077124658e-07
AF127912.1.1614,0.0011614070160407444,3.222769957155299e-06
AF129443.1.1436,0.0010852491789233186,8.337314480203607e-06
AF129444.1.1436,0.0017516302537007949,1.527390736075802e-05
AF129868.1.1462,0.000652101480317959,8.601709797679433e-08
AF132232.1.1493,0.020329382645532867,4.585765641890487e-05
AF132261.1.1437,0.0029273168642010568,3.894766951475266e-06
AF132263.1.1446,0.0005949831024798896,2.2470865520354093e-06
AF132270.1.1279,0.09134180589271265,7.882109556262123e-05
AF132280.1.1277,0.24028749583511827,0.0012244820366048557
AF132281.1.1427,0.004236279689656813,3.0625487100785994e-06
AF132283.1.1280,0.03427102670284164,0.00011070794932823116
AF132284.1.1359,0.0008139368841924889,5.547514021178791e-07
AF142062.1.1430,0.0006711409395973154,1.5396461849629525e-07
AF143835.1.1303,0.0016088343091056215,1.0390313288573679e-06
AF145752.1.1280,0.0035460992907801418,8.660172024517601e-06
AF153858.1.1349,0.1645770860107573,0.0005515760671921796
AF175281.1.1339,0.002365652815460041,1.7101931184403763e-05
AF175403.1.1471,0.0007996572897329716,5.636252397237692e-07
AF186072.1.1492,0.0007282593174353848,8.040757551478536e-06
AF192152.1.1542,0.02257127897567709,9.302871838003053e-05
AF206305.1.1461,0.0008234566138321671,1.5495519491885254e-06
AF207074.1.1392,0.0007663382359940977,2.8220001271149915e-06
AF231131.1.1494,0.0043076776619544,2.1324188773500074e-05
AF233876.1.1443,0.0008710552620305583,2.4416745507860356e-06
AF251035.1.1484,0.000985292017706697,9.556803203729079e-06
AF253365.1.1402,0.0005426245894616593,4.825410226002457e-06
AF275894.1.1267,0.04613736969870056,0.0012640357022858804
AF287762.1.1511,0.0015755152553667475,4.0837119468140443e-07
AF287769.1.1493,0.005088295492408016,2.321000346982826e-06
AF287772.1.1541,0.0006711409395973154,3.047687769257885e-07
AF287775.1.1476,0.000490266076443429,1.4455810880459502e-07
AF321038.1.1379,0.00048074634680375075,1.8123154527566845e-05
AF338413.1.1408,0.01993907373030606,8.671311864080868e-05
AF348748.1.1327,0.001266124042077205,1.1547568137146867e-05
AF349756.1.1335,0.0022704555190632587,4.855386756584691e-07
AF349930.1.1400,0.0007710981008139369,5.149496377748142e-06
AF349933.1.1228,0.00048074634680375075,4.874874687624358e-07
AF349937.1.1220,0.053048693417106954,0.001255776158627403
AF354055.1.1752,0.0011994859345994574,1.8335161201144589e-06
AF359941.1.1346,0.00953400923413775,5.055138324328374e-05
AF371524.1.1337,0.0035460992907801418,1.123888276871351e-05
AF371526.1.1384,0.004026845637583893,8.156595584503888e-06
AF371544.1.1441,0.003060593079156552,1.0741396288316997e-05
AF371549.1.1455,0.0007330191822552239,5.798902490507741e-06
AF371626.1.1448,0.0035556190204198202,3.394899607016152e-06
AF371628.1.1465,0.0005473844542814984,8.600903412105676e-07
AF371633.1.1455,0.0008520158027512019,8.291986854127735e-07
AF371634.1.1454,0.0028939978104621828,3.782852961435017e-06
AF371637.1.1465,0.0028844780808225047,6.510738922134201e-06
AF371644.1.1419,0.0011566471512209054,7.016520767648268e-06
AF371648.1.1457,0.0008758151268503974,2.6630531744364783e-06
AF371654.1.1443,0.001432719310771574,3.849468336028338e-06
AF371660.1.1453,0.0004950259412632681,6.812484478588364e-07
AF371675.1.1449,0.0008520158027512019,9.194207512210679e-07
AF371677.1.1456,0.001875386739016612,2.2390851629836903e-06
AF371678.1.1465,0.000490266076443429,7.205711400930031e-07
AF371679.1.1429,0.0006283021562187634,2.169865207980473e-07
AF371681.1.1418,0.001546956066447713,1.5491824192601958e-06
AF371688.1.1398,0.02150030939121329,1.2121202878800412e-05
AF371714.1.1434,0.006192584130610691,7.674672414894869e-06
AF371720.1.1436,0.0009424532343281451,3.1471917068526796e-06
AF371735.1.1453,0.0007853776952734542,6.337200100805463e-07
AF371741.1.1423,0.0007092198581560284,2.2647695039163805e-07
AF371743.1.1426,0.0005807035080203722,1.260422970279322e-06
AF371744.1.1240,0.016678566328716265,4.224350994921342e-05
AF371746.1.1412,0.00414584225807987,9.660211457630883e-06
AF371754.1.1432,0.0007520586415345805,1.5982960366169475e-06
AF371756.1.1451,0.0011328478271217096,2.432515814123194e-06
AF371757.1.1435,0.0008758151268503974,8.367094092579954e-07
AF371758.1.1352,0.0025036888952353754,5.448476855915008e-06
AF371779.1.1452,0.002360892950640202,8.396839986154474e-07
AF371790.1.1446,0.0006045028321195678,7.917119047569852e-08
AF371793.1.1451,0.0007425389118949022,6.005798272186033e-07
